Year,Country Code,"Net trade in goods and services (BoP, current US$)",GDP (current US$),Consumer price index (2010 = 100),"Unemployment, total (% of total labor force) (national estimate)","Exports of goods and services (BoP, current US$)","Imports of goods and services (BoP, current US$)","Foreign direct investment, net (BoP, current US$)","Official exchange rate (LCU per US$, period average)"
1986 [YR1986],CAN,3697836184.17814,379006836991.724,56.3394390383515,9.593,102043959702.136,98346123517.958,655376615.265964,1.38947105916667
1987 [YR1987],CAN,5199682303.13483,433134238310.709,58.7936462507155,8.82,112338441235.115,107138758931.981,-994078844.821892,1.32598258166667
1988 [YR1988],CAN,4077707643.07547,509380027626.554,61.1619919862622,7.762,132393704408.965,128315996765.89,149516835.750423,1.23070084666667
1989 [YR1989],CAN,363564038.845448,567211993243.243,64.2100744132799,7.547,141583921265.209,141220357226.364,-756426909.082676,1.18397208416667
1990 [YR1990],CAN,1115963784.24025,596075591360.987,67.279622209502,8.131,148951820956.799,147835857172.559,-2351322579.60475,1.16677362666667
1991 [YR1991],CAN,-3204750443.16362,612527712315.615,71.0646823125358,10.316,148572075570.228,151776826013.392,2962324151.88571,1.14572584416667
1992 [YR1992],CAN,-2261089319.66945,594387358318.855,72.123640526617,11.197,154999312291.735,157260401611.404,-1229978110.06882,1.20872292
1993 [YR1993],CAN,63206950.5331268,579053561739.4,73.468803663423,11.377,168099255258.304,168036048307.771,962554678.562878,1.29008788166667
1994 [YR1994],CAN,6647801661.67282,579944346807.264,73.590440755581,10.395,189386047191.058,182738245529.385,1079642881.10374,1.3656734475
1995 [YR1995],CAN,18904083589.1695,605961090061.207,75.1717229536348,9.489,218166364009.087,199262280419.918,2170895576.05244,1.37244541833333
1996 [YR1996],CAN,24629288042.4509,630607994132.747,76.352318259874,9.62,233264869695.22,208635581652.769,3471751714.69391,1.36352163583333
1997 [YR1997],CAN,12429974698.068,654986999855.554,77.5901545506583,9.101,248956640936.29,236526666238.222,11546289244.7879,1.38459802833333
1998 [YR1998],CAN,12048309635.2646,634000000000,78.3629078420148,8.279,252987319296.9,240939009661.635,11369485481.8881,1.48350530166667
1999 [YR1999],CAN,24096639864.5943,678412196271.118,79.722381224957,7.583,283248726032.556,259152086167.962,-7526468527.1575,1.48570481916667
2000 [YR2000],CAN,41604373750.7723,744773415931.587,81.8903835145964,6.829,328227892005.093,286623518254.321,-21653038993.6265,1.485394095
2001 [YR2001],CAN,41819090368.6473,738981792355.372,83.9582140812822,7.219,309750150606.078,267931060237.432,8440763882.98875,1.548839955
